Tweets,Survey_Results,VADER,IMPROVED_VADER,TEXTBLOB_PATTER_ANALYZER,,TEXTBLOB_NAIVE_BAYES_CLASSIFIER Probabilities
If it makes you cry it really isn't worth it. Terrible conditioning.,-0.8,-0.3591,-0.7948,-0.35,,-0.692659692577845
fuck yall,-0.7,-0.5423,-0.5423,-0.4,,-0.535714285714286
Delhi is not a safe place anymore where CM is dying to get Muslim votes so some people of this community thinking that they are indispensable.,-0.65,-0.3412,-0.4494,0.075,,0.932702649031491
The definition of madness: keep doing the same thing expecting a different result,-0.5,-0.4404,-0.4404,0,,0.696695034629413
"Crime is up all over London under Sadiq Khan. In my home ward of Berrylands I was shocked to see it increased by over 55% during his mayoralty! Check your own area at the link below, sadly I suspect the results will be similar.",-1,-0.8398,-0.8398,-0.19375,,0.845393731740818
this could be me and my sis but she a spawn of satan and i am the devil incarnate so,-0.6,-0.7964,-0.7964,0,,0.671629452710031
Nakakagalit na YET AGAIN students are becoming victims bc of the incompetence of certain faculty/profs. I know na subjective ang grading system sa Music pero para ipitin nyo students with 4.0 or retake without clear rubrics is very telling how bad the organization is.,-0.8,-0.8572,-0.5223,0.052857142857143,,0.628541740812262
"American workers don't want to work in menial drone jobs for little pay, no unionization or benefits which is what you would like. I'm sure king trumpy would have his grubby hands in all factory coffers! These are still the United States of America not trumpyland. POSPOTUS!!!",-0.5,0.8449,0.6637,0.270833333333333,,0.999913668057131
wasted my nights,-0.5,-0.4939,-0.4939,-0.2,,-0.783085430968726
Fair point. I might join you in retirement soon my ankle is fucked 😂,-0.4,0.25,0.25,0.05,,0.525388106871014
"Here in Ireland, a woman died of sepsis because the law meant she couldn’t have an abortion, for a foetus that wouldn’t have survived anyway. Because of what happened to Savita Halappanaver &amp; others, the public voted 1 year ago by 2:1 margin to repeal the law forbidding abortion",-0.6,-0.4588,-0.8403,0,,-0.931478466261923
"Madam Oby, why have you refused to leave the cifia pains mode? This your statement is utterly irresponsible, reckless, provocative, despicable and condemnable, what a shame that you can denigrate so low just to attract sheepish attention",-1,-0.9289,-0.9241,0,,0.519719447260555
Great I lost my fucking ID tonight. Gonna have to finally get a Nevada license smfh,-0.8,0.4215,0.4215,0.066666666666667,,0.856465146323701
They said the party was great but it wasn’t,-0.7,0.5267,0.5267,0.8,,-0.568129770853443
